DEPT,GR,Res,CALI,RHOB
2029,73.966,4.475,8.015,2.484
2029.5,73.843,4.089,7.955,2.474
2030,75.413,3.985,7.983,2.461
2030.5,75.882,3.94,7.988,2.454
2031,74.691,3.734,7.908,2.45
2031.5,73.897,3.65,7.916,2.441
2032,73.498,3.465,7.933,2.447
2032.5,73.135,3.764,7.849,2.453
2033,72.893,4.02,7.869,2.472
2033.5,71.308,4.298,7.894,2.489
2034,69.526,4.576,7.862,2.507
2034.5,68.534,4.693,7.822,2.523
2035,69.201,4.79,7.883,2.537
2035.5,69.667,4.906,7.895,2.514
2036,69.701,4.943,7.879,2.516
2036.5,69.655,5.02,7.868,2.51
2037,68.188,5.316,7.936,2.504
2037.5,66.565,5.554,7.929,2.517
2038,65.218,5.711,7.885,2.513
2038.5,65.292,5.808,7.893,2.503
2039,65.76,5.926,7.954,2.521
2039.5,66.582,5.98,7.962,2.534
2040,67.56,5.977,7.902,2.531
2040.5,68.187,5.973,7.955,2.547
2041,69.047,5.97,7.947,2.567
2041.5,69.436,5.926,7.887,2.584
2042,69.312,5.92,7.892,2.577
2042.5,68.478,6.017,8.081,2.569
2043,67.603,6.295,8.041,2.554
2043.5,67.202,6.513,7.981,2.543
2044,66.959,6.791,7.946,2.565
2044.5,66.717,7.148,7.958,2.558
2045,66.002,7.366,8.003,2.567
2045.5,64.891,7.684,7.971,2.556
2046,64.963,8.002,7.911,2.565
2046.5,64.603,8.26,7.899,2.571
2047,64.046,8.356,7.924,2.573
2047.5,63.959,8.311,7.904,2.575
2048,63.717,8.307,7.892,2.549
2048.5,63.474,8.264,7.941,2.537
2049,63.311,8.24,7.949,2.55
2049.5,62.633,8.235,7.926,2.558
2050,62.312,8.271,7.89,2.567
2050.5,61.91,8.368,7.898,2.574
2051,61.155,8.465,7.899,2.572
2051.5,59.533,9.166,7.907,2.569
2052,57.75,9.424,8.036,2.582
2052.5,56.521,9.881,8.081,2.58
2053,55.726,10.3,7.956,2.558
2053.5,56.036,10.599,8.158,2.523
2054,57.449,10.837,8.238,2.498
2054.5,60.285,10.993,8.078,2.497
2055,61.422,11.11,7.99,2.491
2055.5,62.048,11.167,8.083,2.477
2056,62.673,11.123,7.915,2.472
2056.5,63.889,11.379,7.915,2.472
2057,66.171,11.436,8.02,2.479
2057.5,69.123,11.433,8.088,2.483
2058,70.221,11.429,7.972,2.495
2058.5,70.611,11.425,8.073,2.504
2059,70.645,11.399,7.909,2.497
2059.5,70.717,11.355,7.957,2.468
2060,71.146,11.352,7.99,2.464
2060.5,70.823,11.348,8.119,2.456
2061,69.2,11.404,8.047,2.468
2061.5,68.444,11.902,7.923,2.473
2062,67.65,12.12,7.995,2.475
2062.5,66.459,12.398,7.879,2.459
2063,66.059,13.259,7.888,2.466
2063.5,63.844,13.477,8.017,2.46
2064,60.09,13.533,7.993,2.444
2064.5,57.322,13.57,7.917,2.435
2065,55.66,13.566,8.022,2.446
2065.5,54.471,13.542,7.946,2.453
2066,54.111,13.438,7.878,2.459
2066.5,54.616,12.949,7.866,2.48
2067,56.347,12.241,7.79,2.474
2067.5,56.655,11.653,7.992,2.473
2068,54.006,11.649,7.924,2.463
2068.5,51.278,11.887,8.069,2.448
2069,49.458,12.226,8.093,2.451
2069.5,48.11,12.724,8.202,2.456
2070,47.236,13.203,8.226,2.464
2070.5,46.442,13.662,8.279,2.457
2071,45.646,13.678,8.067,2.457
2071.5,45.641,14.358,8.071,2.464
2072,46.739,15.018,8.063,2.472
2072.5,48.626,15.377,7.951,2.474
2073,51.658,15.35,7.964,2.473
